k,m,xi,Adjusted Rand Index,Adjusted Rand Index Seed,Davies-Bouldin Index,Davies-Bouldin Index Seed,Silhouette Score,Silhouette Score Seed,Purity Score,Purity Score Seed,Time (s),Time (s) Seed,Iterations,Iterations Seed
4,1.5,0.5,0.4236187025799896,4,7.047260729755505,1,0.012836777411190787,0,0.872255489021956,4,3.9706311225891113,4,29,4
4,2.5,0.5,0.44236646301562865,2,6.756629480721805,1,0.012756194455622592,2,0.8862275449101796,2,2.2477283477783203,0,22,3
4,1.5,0.7,0.4035403609325723,0,7.051429648533265,2,0.012911595948561356,0,0.8619427811044578,0,4.886897325515747,2,40,0
4,2.5,0.7,0.43033939330307636,2,6.840396756196876,1,0.012945990850110492,0,0.8795741849634066,0,2.439871072769165,4,27,1
4,3.5,0.3,0.4521013349300741,1,7.058295460027323,1,0.012651263111821328,2,0.8912175648702595,1,3.4875595569610596,4,25,4
4,3.5,0.5,0.4462202155519306,1,7.050026746626732,1,0.01270163759804745,2,0.887890884896873,1,3.924513339996338,4,27,4
4,3.5,0.7,0.44113606414430223,2,7.054860617021971,3,0.0127733291796197,1,0.8855622089155023,2,3.142848491668701,4,25,4
5,1.5,0.3,0.3695523551017456,1,7.140429900889774,3,0.012618857397094126,4,0.8975382568196939,4,3.9142777919769287,3,26,3
5,1.5,0.5,0.3597658417036174,4,7.164524570182789,3,0.012556168652491935,4,0.8918829008649368,4,3.6186013221740723,2,28,0
5,2.5,0.3,0.42267934243868077,0,7.137167356486782,3,0.012663024241899155,4,0.9055222887558216,4,2.8597424030303955,2,29,2
5,1.5,0.7,0.36555149637854806,4,7.1730475957386375,3,0.012789563594853207,4,0.8962075848303394,4,4.239705324172974,2,32,2
5,2.5,0.5,0.412362266742257,0,7.139515653404844,3,0.01265652364390068,4,0.9028609447771124,4,3.7569854259490967,3,26,3
5,2.5,0.7,0.39834239916974595,0,7.155368299175956,3,0.012695851719225649,4,0.9068529607451763,4,3.427520513534546,3,25,3
5,3.5,0.3,0.37393479111759265,3,6.914265457725738,1,0.010842804579030581,4,0.8609447771124418,3,4.085467338562012,0,30,0
5,3.5,0.5,0.3723661726534312,4,6.906701745928014,1,0.010852333138896634,4,0.8579507651363939,3,3.9736268520355225,4,32,4
5,3.5,0.7,0.36710732540044394,4,6.978309246820167,1,0.010902497270064052,4,0.8542914171656687,4,3.0617563724517822,1,30,4
6,1.5,0.3,0.3224244019247151,3,7.3391995303408954,3,0.011062824053836039,4,0.8789088489687292,0,4.440253257751465,2,30,2
6,1.5,0.7,0.3140890847166939,2,7.29865511236271,1,0.012230317183582726,1,0.885894876912841,1,2.9845755100250244,3,24,2
6,2.5,0.3,0.33295291703559343,2,7.224225514611729,4,0.010081277397407558,4,0.8892215568862275,2,3.8201022148132324,1,27,1
6,1.5,0.5,0.30518518999681316,3,7.3597474721455995,0,0.01148369486638682,3,0.8672654690618763,3,3.1828243732452393,2,30,2
6,2.5,0.5,0.3261911559082482,2,7.2823682590074155,4,0.010176163750786288,4,0.8838988689288091,2,4.225396633148193,1,27,1
6,2.5,0.7,0.3152163260780152,2,7.380246080119597,4,0.010915109452623922,4,0.8809048569527611,3,4.830292463302612,2,36,2
6,3.5,0.5,0.353685312436777,2,7.2174886148182695,4,0.00933633340922019,1,0.8805721889554224,3,3.735929250717163,4,26,4
6,3.5,0.3,0.35551747326089195,2,7.208353947483694,4,0.00911003674581935,3,0.9045242847638058,3,3.7301788330078125,4,26,4
6,3.5,0.7,0.3479304728007948,2,7.219305908597307,4,0.009685985432301383,1,0.8812375249500998,3,3.562173366546631,4,26,4
