k,distance,seed,Adjusted Rand Index,Davies-Bouldin Index,Silhouette Score,Purity Score,Time (s),Iterations,Error
3,manhattan,79,0.16851874473093886,7.243711168156763,0.014081417969141046,0.6220891550232868,1.9641058444976807,21.0,
3,manhattan,33,0.16851874473093886,7.243711168156763,0.014081417969141046,0.6220891550232868,2.0914318561553955,21.0,
3,cosine,0,0.3224988619201217,7.034753716712925,0.013082976303053905,0.7095808383233533,4.165549039840698,47.0,
3,cosine,42,0.3224988619201217,7.034753716712925,0.013082976303053905,0.7095808383233533,4.074860095977783,47.0,
3,cosine,36,0.3224988619201217,7.034753716712925,0.013082976303053905,0.7095808383233533,4.305755853652954,47.0,
3,cosine,12,0.3224988619201217,7.034753716712925,0.013082976303053905,0.7095808383233533,4.049148321151733,47.0,
3,cosine,55,0.3224988619201217,7.034753716712925,0.013082976303053905,0.7095808383233533,3.8010640144348145,47.0,
3,cosine,100,0.3224988619201217,7.034753716712925,0.013082976303053905,0.7095808383233533,4.132601022720337,47.0,
3,cosine,24,0.3224988619201217,7.034753716712925,0.013082976303053905,0.7095808383233533,3.9839398860931396,47.0,
3,cosine,67,0.3224988619201217,7.034753716712925,0.013082976303053905,0.7095808383233533,4.087291240692139,47.0,
4,euclidean,0,0.43057957831934157,7.075312839106868,0.012582831418501455,0.8745841650033267,2.5902059078216553,23.0,
3,cosine,79,0.3224988619201217,7.034753716712925,0.013082976303053905,0.7095808383233533,3.7985551357269287,47.0,
4,euclidean,42,0.43057957831934157,7.075312839106868,0.012582831418501455,0.8745841650033267,2.6320221424102783,23.0,
3,cosine,33,0.3224988619201217,7.034753716712925,0.013082976303053905,0.7095808383233533,4.129677057266235,47.0,
4,euclidean,36,0.43057957831934157,7.075312839106868,0.012582831418501455,0.8745841650033267,2.5718741416931152,23.0,
4,euclidean,12,0.43057957831934157,7.075312839106868,0.012582831418501455,0.8745841650033267,2.5107860565185547,23.0,
4,euclidean,55,0.43057957831934157,7.075312839106868,0.012582831418501455,0.8745841650033267,2.368781089782715,23.0,
4,euclidean,100,0.43057957831934157,7.075312839106868,0.012582831418501455,0.8745841650033267,2.387890100479126,23.0,
4,euclidean,67,0.43057957831934157,7.075312839106868,0.012582831418501455,0.8745841650033267,2.6588921546936035,23.0,
4,euclidean,24,0.43057957831934157,7.075312839106868,0.012582831418501455,0.8745841650033267,3.05192494392395,23.0,
4,euclidean,79,0.43057957831934157,7.075312839106868,0.012582831418501455,0.8745841650033267,3.536098003387451,23.0,
4,euclidean,33,0.43057957831934157,7.075312839106868,0.012582831418501455,0.8745841650033267,3.5468862056732178,23.0,
4,manhattan,0,0.19710296901354465,6.9295578917486464,0.014233215059071304,0.7005988023952096,3.6122031211853027,26.0,
4,manhattan,42,0.19710296901354465,6.9295578917486464,0.014233215059071304,0.7005988023952096,3.64880108833313,26.0,
4,manhattan,12,0.19710296901354465,6.9295578917486464,0.014233215059071304,0.7005988023952096,3.5201127529144287,26.0,
