Dataset,Metric,Algorithm,Min Samples,Silhouette,ARI,DBI,Purity,Num Clusters,Time (s)
splice,euclidean,brute,14,,0.0,,0.550232867598137,1,371.66731882095337
splice,euclidean,brute,15,,0.0,,0.550232867598137,1,376.12231183052063
splice,euclidean,kd_tree,2,0.3918421510403774,0.1806152964732017,0.9933334746921128,0.6906187624750499,169,41.868555545806885
splice,euclidean,kd_tree,3,0.422324435972515,0.1116120195930732,1.0115902835230757,0.6377245508982036,64,41.88309144973755
splice,euclidean,kd_tree,4,0.4472790349127982,0.0778872808214118,0.960189432860472,0.6114437791084497,33,42.92642331123352
splice,euclidean,kd_tree,5,0.4413056237913755,0.0611759851890753,0.9809423266295524,0.5988023952095808,21,42.26837277412415
splice,euclidean,kd_tree,6,0.4455187199328854,0.0478590701209443,1.0556445771191216,0.5884896872920825,14,42.32483959197998
splice,euclidean,kd_tree,7,0.376761645364803,0.0287803737641631,1.2060796461378076,0.571523619427811,6,43.08136320114136
splice,euclidean,kd_tree,8,0.4412614886856008,0.0191751447602389,0.9764465994898404,0.5658682634730539,4,49.55174112319946
splice,euclidean,kd_tree,9,0.3936057276462247,0.015928006557658,1.0748024390185689,0.5632069194943446,3,50.995744466781616
splice,euclidean,kd_tree,10,0.3367281530076506,0.0184115600469428,1.2245560961786397,0.5652029274783765,3,63.48793983459473
splice,euclidean,kd_tree,11,0.3491014472824024,0.0175908229693259,1.2029698435537242,0.5645375914836993,3,66.1888952255249
splice,euclidean,kd_tree,12,0.3349467597854364,0.0184409439135593,1.2619682081630317,0.5652029274783765,3,61.703895568847656
splice,euclidean,kd_tree,13,,0.0060734760962108,,0.5552228875582169,1,67.0918939113617
splice,euclidean,kd_tree,14,,0.0,,0.550232867598137,1,65.29689502716064
splice,euclidean,kd_tree,15,,0.0,,0.550232867598137,1,62.634899854660034
splice,l1,ball_tree,2,0.2618749626366763,0.1857214517420333,1.2147023443521046,0.7268795741849634,280,26.63203763961792
splice,l1,ball_tree,3,0.3468380054230994,0.1354773843389466,1.3001513498993,0.653692614770459,77,26.74355936050415
splice,l1,ball_tree,4,0.3710015056364909,0.096800351457,1.227286616012523,0.6254158349966733,43,27.97562026977539
splice,l1,ball_tree,5,0.3863704044109315,0.0683866631067692,1.2276593267516296,0.6041250831669993,22,28.233530282974243
splice,l1,ball_tree,6,0.3874122963960352,0.0535141800306098,1.1823459817237911,0.592814371257485,14,28.834086656570435
splice,l1,ball_tree,7,0.3575941678511128,0.0330854918620495,1.2271929377059128,0.5768463073852296,7,28.068602085113525
splice,l1,ball_tree,8,0.3476131040053978,0.0305321966902156,1.265497025757342,0.5748502994011976,6,29.03548741340637
splice,l1,ball_tree,9,0.3236620321651414,0.0192611751098859,1.2847808356772503,0.5658682634730539,3,28.708356380462646
splice,l1,ball_tree,10,0.3367281530076506,0.0184115600469428,1.2245560961786397,0.5652029274783765,3,28.140511512756348
splice,l1,ball_tree,11,0.3420301693359665,0.0180006585323682,1.215178043517673,0.564870259481038,3,28.444749116897583
splice,l1,ball_tree,12,0.3349467597854364,0.0184409439135593,1.2619682081630317,0.5652029274783765,3,29.00923991203308
splice,l1,ball_tree,13,0.358219034252315,0.0134364755977634,1.157803694246721,0.5612109115103127,2,29.197099685668945
splice,l1,ball_tree,14,0.358219034252315,0.0134364755977634,1.157803694246721,0.5612109115103127,2,27.959383487701416
splice,l1,ball_tree,15,,0.0061405268280827,,0.5552228875582169,1,27.713770866394043
splice,l1,brute,2,0.2618749626366763,0.1857214517420333,1.2147023443521046,0.7268795741849634,280,155.71680283546448
splice,l1,brute,3,0.3468380054230994,0.1354773843389466,1.3001513498993,0.653692614770459,77,154.10808730125427
splice,l1,brute,4,0.3710015056364909,0.096800351457,1.227286616012523,0.6254158349966733,43,153.4304656982422
splice,l1,brute,5,0.3863704044109315,0.0683866631067692,1.2276593267516296,0.6041250831669993,22,151.4788339138031
splice,l1,brute,6,0.3874122963960352,0.0535141800306098,1.1823459817237911,0.592814371257485,14,149.1390962600708
splice,l1,brute,7,0.3575941678511128,0.0330854918620495,1.2271929377059128,0.5768463073852296,7,149.2650957107544
splice,l1,brute,8,0.3476131040053978,0.0305321966902156,1.265497025757342,0.5748502994011976,6,147.83676052093506
splice,l1,brute,9,0.3236620321651414,0.0192611751098859,1.2847808356772503,0.5658682634730539,3,147.42676663398743
splice,l1,brute,10,0.3367281530076506,0.0184115600469428,1.2245560961786397,0.5652029274783765,3,147.4917232990265
splice,l1,brute,11,0.3420301693359665,0.0180006585323682,1.215178043517673,0.564870259481038,3,142.61845183372498
splice,l1,brute,12,0.3349467597854364,0.0184409439135593,1.2619682081630317,0.5652029274783765,3,142.43622875213623
splice,l1,brute,13,0.358219034252315,0.0134364755977634,1.157803694246721,0.5612109115103127,2,141.77317214012146
splice,l1,brute,14,0.358219034252315,0.0134364755977634,1.157803694246721,0.5612109115103127,2,109.66843819618224
splice,l1,brute,15,,0.0061405268280827,,0.5552228875582169,1,102.64817118644714
splice,l1,kd_tree,2,0.2618749626366763,0.1857214517420333,1.2147023443521046,0.7268795741849634,280,30.47932910919189
splice,l1,kd_tree,3,0.3468380054230994,0.1354773843389466,1.3001513498993,0.653692614770459,77,30.30808925628662
splice,l1,kd_tree,4,0.3710015056364909,0.096800351457,1.227286616012523,0.6254158349966733,43,29.06054949760437
splice,l1,kd_tree,5,0.3863704044109315,0.0683866631067692,1.2276593267516296,0.6041250831669993,22,29.00194311141968
splice,l1,kd_tree,6,0.3874122963960352,0.0535141800306098,1.1823459817237911,0.592814371257485,14,37.039368629455566
splice,l1,kd_tree,7,0.3575941678511128,0.0330854918620495,1.2271929377059128,0.5768463073852296,7,37.52525973320007
splice,l1,kd_tree,8,0.3476131040053978,0.0305321966902156,1.265497025757342,0.5748502994011976,6,35.229297399520874
splice,l1,kd_tree,9,0.3236620321651414,0.0192611751098859,1.2847808356772503,0.5658682634730539,3,42.928945779800415
splice,l1,kd_tree,10,0.3367281530076506,0.0184115600469428,1.2245560961786397,0.5652029274783765,3,43.37022113800049
splice,l1,kd_tree,11,0.3420301693359665,0.0180006585323682,1.215178043517673,0.564870259481038,3,42.36295056343079
splice,l1,kd_tree,12,0.3349467597854364,0.0184409439135593,1.2619682081630317,0.5652029274783765,3,39.51466703414917
splice,l1,kd_tree,13,0.358219034252315,0.0134364755977634,1.157803694246721,0.5612109115103127,2,45.92973852157593
