k,m,xi,Adjusted Rand Index,Davies-Bouldin Index,Silhouette Score,Time (s),Iterations
13,1.5,0.7,0.3927873873411789,1.4179240781524078,0.2343119037042125,3.8264427185058594,53
13,2.5,0.3,0.4033678947483704,1.3679503173243108,0.2459652447292158,3.978196620941162,56
13,2.5,0.5,0.3723462947201978,1.4257576391681208,0.2226426022235106,4.5611572265625,65
13,2.5,0.7,0.3838443875683923,1.407671383746498,0.2260656695065522,4.722934007644653,65
14,1.5,0.3,0.3697465321845574,1.477931929316146,0.2146467800711847,5.603809595108032,79
14,1.5,0.5,0.3898774152915295,1.385953925348251,0.2335208555364157,4.71795392036438,66
14,1.5,0.7,0.3898375957938454,1.3837679204189317,0.2331150129787856,5.1177978515625,72
14,2.5,0.3,0.3781098481147145,1.4680801616978865,0.2302141086856116,3.1894423961639404,44
14,2.5,0.5,0.3793946725524724,1.4878394253362452,0.2207447039732256,5.022544622421265,71
14,2.5,0.7,0.3643019952801754,1.5320660360395295,0.2084483655238748,5.429424285888672,77
2,3.5,0.3,0.1945239484831864,1.1806885389192987,0.3468401229539628,2.6548092365264893,18
2,3.5,0.5,0.1952114249500939,1.1795514460653287,0.3468991381213971,2.5290095806121826,17
2,3.5,0.7,0.1964659664175551,1.1788044283680248,0.3469255971859514,2.557602643966675,18
3,3.5,0.3,0.2925838804181866,0.8112978478985348,0.4373094164247992,2.8395862579345703,18
3,3.5,0.5,0.2925540840634314,0.8110833613619777,0.4372916518303917,3.113664150238037,19
3,3.5,0.7,0.2925349061003608,0.8110041346591186,0.4372760375372578,3.0582282543182373,19
4,3.5,0.3,0.3503659183084764,1.131226007388808,0.324007422293176,4.433207273483276,28
4,3.5,0.5,0.3541905876628202,1.1256822356235514,0.3248232922490819,7.468739986419678,45
4,3.5,0.7,0.4578328218464453,0.9619726828547088,0.3955258735147618,6.891568183898926,46
5,3.5,0.3,0.4519606491237208,1.085714509175522,0.3302493458609785,8.42566180229187,52
5,3.5,0.7,0.5231950495890522,1.127175898633474,0.3468583635738325,7.274562835693359,42
5,3.5,0.5,0.5243872411128281,1.1289069916529368,0.3474044544834977,11.236534118652344,69
6,3.5,0.3,0.5268053490854433,1.0247906459933784,0.3517409045011829,3.596034526824951,21
6,3.5,0.5,0.5260156707620811,1.0222902205062416,0.3517141931245128,6.404101610183716,40
6,3.5,0.7,0.522808652369028,1.0208207312654392,0.3512718572821759,6.438157796859741,39
7,3.5,0.3,0.4536744216930473,1.1072474494649556,0.2998868500499108,8.4570951461792,48
7,3.5,0.5,0.4482963003312181,1.111652262871092,0.2991877658761899,9.36473536491394,53
7,3.5,0.7,0.4470029219284579,1.114606416202919,0.2984699831002456,10.29724669456482,62
8,3.5,0.5,0.532968936864805,1.1673378660347449,0.3217540577086969,8.330840587615967,48
8,3.5,0.3,0.5473365830293977,1.17347501432234,0.3141862182821134,12.616418600082396,75
8,3.5,0.7,0.5250424421801348,1.1604518098047871,0.321027002070179,11.405346155166626,69
9,3.5,0.3,0.546352267105024,1.1851386967586104,0.3185191078807764,13.629823446273804,81
9,3.5,0.5,0.4568456457909572,1.1917900441978233,0.2892367550039837,8.408238172531128,51
9,3.5,0.7,0.4562337333668711,1.193774885222053,0.2880825099501031,14.17810320854187,81
10,3.5,0.5,0.4422024959996005,1.251516547748443,0.269234514700626,8.679406642913818,46
10,3.5,0.7,0.4411111934804766,1.2408420045253463,0.2664997602235902,9.187258243560793,54
10,3.5,0.3,0.4445229683435276,1.2550566339769642,0.2714686488375266,12.440646171569824,73
11,3.5,0.3,0.4407776602509574,1.2580454510596777,0.2746175480526744,6.635252475738525,34
11,3.5,0.5,0.4061287016534117,1.3343079314763,0.2381407031587265,10.720654249191284,58
11,3.5,0.7,0.4040937290313477,1.3268138319333298,0.2353385885263318,13.083058834075928,75
12,3.5,0.5,0.3866371990639546,1.3583330634329829,0.2311764744372035,10.23046064376831,56
12,3.5,0.3,0.4255761597279061,1.3425166266157842,0.253688165252792,13.928579807281494,82
12,3.5,0.7,0.3793387989382659,1.360339098413455,0.2268217217090949,14.795228004455566,87
13,3.5,0.3,0.3839418383017582,1.4207765795534617,0.2282871863261098,10.599351406097412,60
13,3.5,0.5,0.350212031367473,1.4857437991831932,0.1983806381627212,17.590013027191162,100
13,3.5,0.7,0.3767093590455571,1.4013916128602988,0.2180440659191872,17.464767456054688,100
14,3.5,0.3,0.3801275293238054,1.426887977461187,0.2248625381409872,10.012062311172484,56
14,3.5,0.5,0.3599563006188216,1.5759034579142437,0.2007332573995731,10.82831621170044,61
14,3.5,0.7,0.3534981792239201,1.6527486186157845,0.1973522418317664,11.76982879638672,65
15,1.5,0.5,0.3906299942565598,1.3556252240733753,0.234590300558922,8.412896394729614,51
15,1.5,0.3,0.4178985533840932,1.3395865897682542,0.2565488555837573,12.382545709609984,72
15,1.5,0.7,0.3910462005102608,1.360277031044625,0.2350569306837696,8.758670091629028,52
15,2.5,0.3,0.3472171258010995,1.4868151960645128,0.2129503877946321,10.74475359916687,62
15,2.5,0.5,0.3459156374560722,1.4847147809815164,0.2116331294975935,11.016600370407104,62
15,2.5,0.7,0.3490026618476963,1.4174605602461312,0.2073282057543269,17.65159583091736,100
