k,m,xi,Adjusted Rand Index,Davies-Bouldin Index,Silhouette Score,Purity Score,Time (s),Iterations, Error
13,1.5,0.3,0.14957183300473706,1.7753708559897603,0.15921474732632235,0.3313131313131313,1.8556851545969646,37.333333333333336,
13,1.5,0.5,0.15216139436993273,1.7518572414102918,0.16345655891102492,0.33569023569023565,2.215326944986979,43.666666666666664,
13,1.5,0.7,0.16102826652416657,1.7334086905279982,0.1637377437216324,0.3481481481481481,2.6255925496419272,52.666666666666664,
13,2.5,0.3,0.14776518198056873,1.7400974080360048,0.16136710537674442,0.32592592592592595,1.7203232447306316,34.0,
12,3.5,0.7,0.15265927953067882,1.7551765388277134,0.14603211194457014,0.3336700336700337,4.9952677090962725,100.0,
13,3.5,0.3,0.1514621322736139,1.7352671852048276,0.16030991394106173,0.33501683501683505,1.9028293291727703,32.666666666666664,
13,2.5,0.5,0.14293933483668952,1.6885001229857128,0.16058319763940773,0.32760942760942763,3.6036205291748047,66.33333333333333,
13,2.5,0.7,0.1474511368138305,1.7158881667388977,0.1559437018269947,0.33636363636363636,4.362627188364665,78.66666666666667,
14,1.5,0.3,0.15482451894920282,1.7297523909144694,0.16042062215551323,0.3538720538720539,1.7385740280151367,31.666666666666668,
13,3.5,0.5,0.13957100692333677,1.7253575673077073,0.1638884779152984,0.32861952861952864,3.650789181391398,69.0,
14,2.5,0.3,0.1444122192997809,1.6905867773734637,0.16625233598847347,0.34208754208754205,1.0421280066172283,30.333333333333332,
14,1.5,0.5,0.16215583441515433,1.7043719311004166,0.16574212118411719,0.36430976430976436,1.6405317783355713,42.0,
13,3.5,0.7,0.14389965703822885,1.7403510830654954,0.15664489871118845,0.3367003367003367,4.166287342707316,91.0,
14,1.5,0.7,0.15106469812546827,1.7116085766601186,0.17016188858063555,0.34141414141414145,2.9543306827545166,68.33333333333333,
14,3.5,0.3,0.15140919794285806,1.6934902851684928,0.1637751037715924,0.3397306397306397,1.7660034497578938,33.333333333333336,
14,2.5,0.5,0.1536606378825215,1.6774591690908445,0.16010041124511434,0.34006734006734013,3.076504389444987,57.666666666666664,
14,2.5,0.7,0.15290602924137078,1.6969790745152797,0.16305811265812845,0.34646464646464653,3.9079455534617105,73.33333333333333,
15,1.5,0.3,0.14176614116835165,1.7035376060695189,0.16609188421077478,0.3494949494949495,1.358821709950765,26.333333333333332,
14,3.5,0.5,0.16188324965101966,1.7108176915878772,0.15792487095977556,0.36161616161616156,3.643641233444214,69.66666666666667,
15,1.5,0.5,0.16290872490990319,1.658132080988633,0.1720733925262422,0.3717171717171717,2.218350092569987,42.333333333333336,
15,1.5,0.7,0.15508182044219757,1.7179838278445239,0.16851771795801532,0.3558922558922559,2.2842310269673667,43.666666666666664,
14,3.5,0.7,0.14830879319237125,1.7140395782132434,0.15011063020864748,0.34545454545454546,5.082372585932414,100.0,
15,2.5,0.3,0.1428494529122473,1.6680180128870663,0.17187543823892823,0.3410774410774411,2.243663469950358,43.0,
15,3.5,0.3,0.14167092654493565,1.6747827802232338,0.16967858349000567,0.33872053872053876,1.707172155380249,42.333333333333336,
15,2.5,0.5,0.15229595104804827,1.6659903998003553,0.16977199552292957,0.36161616161616167,3.2587384382883706,73.0,
15,2.5,0.7,0.13820169295670168,1.7195320348372245,0.1653894329255809,0.33636363636363636,3.207263708114624,73.33333333333333,
15,3.5,0.5,0.14402697753704022,1.6581597742360275,0.16643645371282306,0.33636363636363636,2.7125935554504395,66.66666666666667,
15,3.5,0.7,0.13691523607826794,1.7672127405722395,0.15600046103959772,0.34882154882154887,2.0854450861612954,83.33333333333333,
