k,m,xi,Adjusted Rand Index,Adjusted Rand Index Seed,Davies-Bouldin Index,Davies-Bouldin Index Seed,Silhouette Score,Silhouette Score Seed,Purity Score,Purity Score Seed,Time (s),Time (s) Seed,Iterations,Iterations Seed
7,1.5,0.3,0.15087020149176517,3,1.8177961681245158,0,0.14835125620790035,1,0.2909090909090909,2,0.34110331535339355,3,27,2
6,3.5,0.7,0.1466926527149699,1,1.8226544655303591,2,0.1501639452544794,2,0.2636363636363636,2,0.5664072036743164,1,39,1
7,1.5,0.5,0.16103550260062952,2,1.8177961681245154,4,0.1494904397698745,0,0.301010101010101,2,0.3021271228790283,2,21,2
7,1.5,0.7,0.1414911327027126,4,1.8172990445899213,4,0.1539051472147247,1,0.2808080808080808,2,0.6325173377990723,0,41,1
7,2.5,0.3,0.15014485815576392,3,1.8214654228521765,0,0.14847218547691984,4,0.2808080808080808,4,0.4086747169494629,0,24,1
7,2.5,0.5,0.14222718977305474,3,1.802075160753427,0,0.1486316719521706,0,0.2797979797979798,4,0.44568514823913574,1,27,1
7,3.5,0.3,0.15352704140449774,3,1.8046404097773336,2,0.15036496479776917,2,0.2787878787878788,1,0.3604302406311035,2,23,2
7,2.5,0.7,0.14997961753336692,3,1.7948953822438474,0,0.1502731232252369,0,0.2777777777777778,1,0.7422788143157959,1,45,1
7,3.5,0.5,0.1492943450121049,3,1.8114970037762057,2,0.1482438813091333,0,0.2818181818181818,1,0.39112019538879395,1,27,1
8,1.5,0.3,0.15560273139242745,1,1.829782267830868,3,0.15687719253065407,3,0.28585858585858587,4,-0.7241744995117188,3,26,4
8,1.5,0.5,0.15710258437276625,1,1.8285763279493712,3,0.15673873409642394,3,0.2868686868686869,0,-0.5901651382446289,2,26,0
7,3.5,0.7,0.16276588690600902,0,1.801459874246547,1,0.14486629084333114,1,0.2909090909090909,0,-0.07447123527526855,3,44,0
8,2.5,0.3,0.14883580890997528,1,1.8084197215274194,4,0.15301730303200156,3,0.28383838383838383,1,0.34453701972961426,0,24,1
8,1.5,0.7,0.15618132288826012,1,1.8026097422858038,4,0.15556770123425187,2,0.2909090909090909,0,-0.5900506973266602,0,40,0
8,3.5,0.3,0.14580003664724606,4,1.8038496723036301,4,0.15276351051606687,4,0.2878787878787879,2,0.3335847854614258,0,23,0
8,2.5,0.5,0.15436976356837248,3,1.7793794955792626,3,0.15389022936774213,1,0.28383838383838383,1,0.626929521560669,2,37,2
8,2.5,0.7,0.1609023306882268,3,1.7765432153381053,0,0.15239174907301867,1,0.28888888888888886,3,0.6740262508392334,1,50,0
8,3.5,0.5,0.14898182349794428,1,1.7702522997591261,0,0.15191049146110627,4,0.29494949494949496,2,0.5624814033508301,4,39,4
9,1.5,0.3,0.17437127104048358,1,1.807132210730288,4,0.15734551268969932,2,0.31717171717171716,1,0.31599998474121094,3,22,3
9,1.5,0.5,0.15099215807867836,3,1.7481264445131806,0,0.15820540764154753,4,0.29393939393939394,3,0.3979525566101074,3,26,3
8,3.5,0.7,0.15045302463774493,2,1.7548464860752786,4,0.1459510226739117,3,0.3,2,0.5593783855438232,4,40,4
9,1.5,0.7,0.15083762062370087,4,1.7830579846150547,4,0.15583746606099855,2,0.302020202020202,1,0.5513262748718262,1,38,1
9,2.5,0.3,0.16744264758834465,1,1.7388712503959576,0,0.1559941795731185,2,0.3101010101010101,1,0.47779059410095215,1,29,1
9,2.5,0.5,0.16204380462952045,1,1.7204451104391418,2,0.15759008311075506,2,0.30707070707070705,3,0.47196364402770996,0,32,0
9,3.5,0.3,0.15322756570847426,2,1.7888686472533872,0,0.15395340906305263,2,0.298989898989899,4,0.3524014949798584,3,24,2
9,2.5,0.7,0.16450873230694965,0,1.71402985213325,2,0.15558011360750335,2,0.30808080808080807,0,0.673736572265625,3,49,3
9,3.5,0.5,0.16021206806215468,2,1.728988030643885,0,0.15233842694951136,2,0.30808080808080807,4,0.5527818202972412,1,40,3
10,1.5,0.3,0.16028188170625446,4,1.7143169048037332,4,0.1595656639471046,4,0.31212121212121213,2,0.3307368755340576,0,22,0
10,1.5,0.5,0.16916692059824157,2,1.7149851036923103,4,0.1597947296504382,4,0.3191919191919192,0,0.40569233894348145,0,31,4
9,3.5,0.7,0.15606069219214447,2,1.7171495168244593,3,0.15096717942996069,1,0.301010101010101,2,0.8072059154510498,1,50,1
10,1.5,0.7,0.16940270272277755,2,1.7146171005292365,4,0.16082088833094024,4,0.3151515151515151,2,0.4611539840698242,0,30,0
10,2.5,0.3,0.165285850409332,1,1.7212822498423914,2,0.16152427377425485,2,0.30707070707070705,1,0.41552734375,3,32,1
10,2.5,0.5,0.1668578857773042,1,1.6886078112091858,2,0.16252010718509416,2,0.3101010101010101,1,0.5946662425994873,1,44,1
10,3.5,0.3,0.1612769823505763,4,1.7234994632283005,2,0.1600611574709719,2,0.32525252525252524,4,0.37823987007141113,4,29,4
10,2.5,0.7,0.16900692204070308,1,1.687925179841438,4,0.15485299607293432,4,0.31414141414141417,1,0.7779037952423096,2,56,2
10,3.5,0.5,0.16836649164857312,1,1.681397676805344,1,0.16016568567499245,4,0.3212121212121212,1,0.6908082962036133,2,47,2
11,1.5,0.3,0.16220767363062913,0,1.722636597380735,3,0.16316398318810565,3,0.3383838383838384,0,0.9701335430145264,0,25,4
11,1.5,0.5,0.17074924135375422,0,1.7048960485033675,2,0.1613903506747153,4,0.32525252525252524,0,1.0333096981048584,4,25,4
10,3.5,0.7,0.1573667310970943,2,1.67739205097043,4,0.15630942230614012,1,0.31313131313131315,2,1.0750377178192139,0,51,2
