Dataset,N Neighbors,Affinity,Eigen Solver,Assign Labels,N Clusters,Seed,ARI,DBI,Silhouette,Purity,Time (s)
satimage,1,rbf,amg,kmeans,5,4,0.0859386425498705,1.2999154629834873,0.1942379991548978,0.3359751359751359,302.9809105396271
satimage,1,rbf,amg,kmeans,6,0,0.0858706740854885,1.254773425955355,0.0831240368260749,0.3367521367521368,258.6633484363556
satimage,1,rbf,amg,kmeans,6,1,0.0858706740854885,1.254773425955355,0.0831240368260749,0.3367521367521368,211.8435981273651
satimage,1,rbf,amg,kmeans,6,2,0.0858706740854885,1.254773425955355,0.0831240368260749,0.3367521367521368,255.1157114505768
satimage,1,rbf,amg,kmeans,6,3,0.0858706740854885,1.254773425955355,0.0831240368260749,0.3367521367521368,247.5726568698883
satimage,1,rbf,amg,kmeans,6,4,0.0858706740854885,1.254773425955355,0.0831240368260749,0.3367521367521368,261.88109397888184
satimage,1,rbf,amg,kmeans,7,0,0.0036981902081341,1.3052686833962397,-0.058291633418417,0.2475524475524475,266.51209473609924
satimage,1,rbf,amg,kmeans,7,1,0.0036981902081341,1.3052686833962397,-0.058291633418417,0.2475524475524475,259.79309153556824
satimage,1,rbf,amg,kmeans,7,2,0.0036981902081341,1.3052686833962397,-0.058291633418417,0.2475524475524475,242.43872237205505
satimage,1,rbf,amg,kmeans,7,3,0.0036981902081341,1.3052686833962397,-0.058291633418417,0.2475524475524475,254.78085207939148
satimage,1,rbf,amg,kmeans,7,4,0.0036981902081341,1.3052686833962397,-0.058291633418417,0.2475524475524475,258.46182441711426
satimage,1,rbf,amg,kmeans,8,0,0.0861060954582772,1.203205098281182,0.0700128946797519,0.3373737373737374,252.0918245315552
satimage,1,rbf,amg,kmeans,8,1,0.0861060954582772,1.203205098281182,0.0700128946797519,0.3373737373737374,253.18384957313535
satimage,1,rbf,amg,kmeans,8,2,0.0861060954582772,1.203205098281182,0.0700128946797519,0.3373737373737374,245.7332978248596
satimage,1,rbf,amg,kmeans,8,3,0.0861060954582772,1.203205098281182,0.0700128946797519,0.3373737373737374,242.7762644290924
satimage,1,rbf,amg,kmeans,8,4,0.0861060954582772,1.203205098281182,0.0700128946797519,0.3373737373737374,236.9452211856842
satimage,1,rbf,amg,kmeans,9,0,0.086492071678701,1.151692741794495,0.050539947117502,0.3381507381507381,215.15585350990293
satimage,1,rbf,amg,kmeans,9,1,0.086492071678701,1.151692741794495,0.050539947117502,0.3381507381507381,214.96585321426392
satimage,1,rbf,amg,kmeans,9,2,0.086492071678701,1.1516927417944949,0.050539947117502,0.3381507381507381,243.84485411643985
satimage,1,rbf,amg,kmeans,9,3,0.086492071678701,1.151692741794495,0.050539947117502,0.3381507381507381,219.21130561828613
satimage,1,rbf,amg,kmeans,9,4,0.086492071678701,1.151692741794495,0.050539947117502,0.3381507381507381,266.9691200256348
satimage,1,rbf,amg,kmeans,10,0,0.0861546912578807,1.081750461670268,0.0448820730081646,0.3378399378399378,244.76963591575625
satimage,1,rbf,amg,kmeans,10,1,0.0861546912578807,1.081750461670268,0.0448820730081646,0.3378399378399378,242.21863555908203
satimage,1,rbf,amg,kmeans,10,2,0.0861546912578807,1.081750461670268,0.0448820730081646,0.3378399378399378,240.91209053993225
satimage,1,rbf,amg,kmeans,10,3,0.0861546912578807,1.081750461670268,0.0448820730081646,0.3378399378399378,193.77867007255557
satimage,1,rbf,amg,kmeans,10,4,0.0861546912578807,1.081750461670268,0.0448820730081646,0.3378399378399378,226.0882432460785
satimage,1,rbf,amg,kmeans,11,0,0.0863096612406729,1.1548858197163026,0.0356268086379297,0.3381507381507381,230.87627625465396
satimage,1,rbf,amg,kmeans,11,1,0.1583574567626921,1.1257623294959933,0.0985757669741718,0.4278166278166278,224.97327542304996
satimage,1,rbf,amg,kmeans,11,2,0.0863096612406729,1.1548858197163026,0.0356268086379297,0.3381507381507381,223.51227807998657
satimage,1,rbf,amg,kmeans,11,3,0.0863096612406729,1.1548858197163026,0.0356268086379297,0.3381507381507381,217.98722195625305
satimage,1,rbf,amg,kmeans,11,4,0.0863096612406729,1.1548858197163026,0.0356268086379297,0.3381507381507381,216.7942411899567
satimage,1,rbf,amg,kmeans,12,0,0.0855332197841761,1.055633377304362,0.0298884102698364,0.3378399378399378,208.99422907829285
satimage,1,rbf,amg,kmeans,12,1,0.0855332197841761,1.055633377304362,0.0298884102698364,0.3378399378399378,208.4402139186859
satimage,1,rbf,amg,kmeans,12,2,0.0855332197841761,1.055633377304362,0.0298884102698364,0.3378399378399378,208.5692126750946
satimage,1,rbf,amg,kmeans,12,3,0.0855332197841761,1.0556333773043618,0.0298884102698364,0.3378399378399378,165.62721037864685
satimage,1,rbf,amg,kmeans,12,4,0.0855332197841761,1.0556333773043618,0.0298884102698364,0.3378399378399378,165.0282118320465
satimage,1,rbf,arpack,cluster_qr,2,0,0.0990700081487545,0.8781667445155212,0.4655651479564602,0.3411033411033411,251.3713116645813
satimage,1,rbf,arpack,cluster_qr,2,1,0.0990700081487545,0.8781667445155212,0.4655651479564602,0.3411033411033411,260.8657395839691
satimage,1,rbf,arpack,cluster_qr,2,2,0.0990700081487545,0.8781667445155212,0.4655651479564602,0.3411033411033411,322.6250035762787
satimage,1,rbf,arpack,cluster_qr,2,3,0.0990700081487545,0.8781667445155212,0.4655651479564602,0.3411033411033411,198.3872787952423
satimage,1,rbf,arpack,cluster_qr,2,4,0.0990700081487545,0.8781667445155212,0.4655651479564602,0.3411033411033411,319.2282919883728
satimage,1,rbf,arpack,cluster_qr,3,0,0.3741941774973973,1.542050930666088,0.2182444212856074,0.5728049728049728,209.2669038772583
satimage,1,rbf,arpack,cluster_qr,3,1,0.3741941774973973,1.542050930666088,0.2182444212856074,0.5728049728049728,218.78799533843997
satimage,1,rbf,arpack,cluster_qr,3,2,0.3741941774973973,1.542050930666088,0.2182444212856074,0.5728049728049728,224.60802817344663
satimage,1,rbf,arpack,cluster_qr,3,3,0.3741941774973973,1.542050930666088,0.2182444212856074,0.5728049728049728,223.46999955177307
satimage,1,rbf,arpack,cluster_qr,3,4,0.3741941774973973,1.542050930666088,0.2182444212856074,0.5728049728049728,218.88650608062744
satimage,1,rbf,arpack,cluster_qr,4,0,0.3748617190351234,1.3768716691280922,0.1686339794209419,0.5732711732711733,411.0840618610382
satimage,1,rbf,arpack,cluster_qr,4,1,0.3748617190351234,1.3768716691280922,0.1686339794209419,0.5732711732711733,427.9016799926758
satimage,1,rbf,arpack,cluster_qr,4,2,0.3748617190351234,1.3768716691280922,0.1686339794209419,0.5732711732711733,418.5361244678497
satimage,1,rbf,arpack,cluster_qr,4,3,0.3748617190351234,1.3768716691280922,0.1686339794209419,0.5732711732711733,383.1549634933472
satimage,1,rbf,arpack,cluster_qr,4,4,0.3748617190351234,1.3768716691280922,0.1686339794209419,0.5732711732711733,416.45166087150574
satimage,1,rbf,arpack,cluster_qr,5,0,0.375719280637136,1.5311552040770369,0.1670378583479952,0.5752913752913753,263.27805972099304
satimage,1,rbf,arpack,cluster_qr,5,1,0.375719280637136,1.5311552040770369,0.1670378583479952,0.5752913752913753,295.42336225509644
satimage,1,rbf,arpack,cluster_qr,5,2,0.375719280637136,1.5311552040770369,0.1670378583479952,0.5752913752913753,258.34600138664246
satimage,1,rbf,arpack,cluster_qr,5,3,0.375719280637136,1.5311552040770369,0.1670378583479952,0.5752913752913753,283.65716099739075
satimage,1,rbf,arpack,cluster_qr,5,4,0.375719280637136,1.5311552040770369,0.1670378583479952,0.5752913752913753,281.3726694583893
satimage,1,rbf,arpack,cluster_qr,6,0,0.3757712989815436,1.6407280562821838,0.1357428813223445,0.5771561771561772,257.9230043888092
satimage,1,rbf,arpack,cluster_qr,6,1,0.3757712989815436,1.6407280562821838,0.1357428813223445,0.5771561771561772,259.3615481853485
satimage,1,rbf,arpack,cluster_qr,6,2,0.3757712989815436,1.6407280562821838,0.1357428813223445,0.5771561771561772,247.95018982887268
satimage,1,rbf,arpack,cluster_qr,6,3,0.3757712989815436,1.6407280562821838,0.1357428813223445,0.5771561771561772,244.61898064613345
satimage,1,rbf,arpack,cluster_qr,6,4,0.3757712989815436,1.6407280562821838,0.1357428813223445,0.5771561771561772,250.22703313827515
satimage,1,rbf,arpack,cluster_qr,7,0,0.3751024405947541,1.4756374418453782,0.1131533177567429,0.5768453768453768,170.08127093315125
satimage,1,rbf,arpack,cluster_qr,7,1,0.3751024405947541,1.4756374418453782,0.1131533177567429,0.5768453768453768,167.6569106578827
satimage,1,rbf,arpack,cluster_qr,7,2,0.3751024405947541,1.4756374418453782,0.1131533177567429,0.5768453768453768,172.47922277450562
