k,m,xi,Adjusted Rand Index,Davies-Bouldin Index,Silhouette Score,Purity Score,Time (s),Iterations, Error
3,3.5,0.5,0.2925540840634314,0.8110833613619777,0.4372916518303917,0.5162393162393163,2.6390305360158286,17.666666666666668,
3,3.5,0.7,0.2925739243915202,0.810993204308491,0.43727566725408057,0.5162393162393163,3.0058157444000244,17.333333333333332,
4,1.5,0.3,0.3457533465537756,1.1393083506793582,0.32229337668223706,0.5687645687645687,3.9234848817189536,23.666666666666668,
4,2.5,0.3,0.45795755245961406,0.9647959834363847,0.39535680070064677,0.6895104895104897,2.6530377864837646,16.333333333333332,
4,1.5,0.5,0.34649442464139596,1.138300860759656,0.3223894885539384,0.5692307692307692,5.133506695429484,31.666666666666668,
4,2.5,0.5,0.4204502988202254,1.0192198519612916,0.3713963617790612,0.6502978502978504,3.376857121785482,22.666666666666668,
4,1.5,0.7,0.38379994536970635,1.080029028122268,0.34682717684444125,0.6094276094276094,5.637613614400228,40.333333333333336,
4,3.5,0.3,0.38593440718093985,1.0752672233902845,0.3479230695744575,0.6145040145040146,4.258735656738281,30.333333333333332,
4,2.5,0.7,0.3468628495178557,1.1287644129013186,0.3235364528165745,0.573996373996374,5.8965827624003095,39.666666666666664,
4,3.5,0.7,0.45785763342769803,0.962031590273404,0.3955184916004912,0.6896658896658897,6.4474062124888105,37.666666666666664,
4,3.5,0.5,0.3541905876628202,1.1256822356235514,0.3248232922490819,0.5855477855477855,7.974688688913981,49.0,
5,1.5,0.3,0.4336943380692054,1.0977168765610965,0.3214012188075643,0.6457394457394457,5.095321337381999,29.666666666666668,
5,1.5,0.5,0.45428284602986774,1.104972573303193,0.32729129101930443,0.6682206682206683,4.910093307495117,34.0,
5,1.5,0.7,0.44670835996462643,1.0972315777009418,0.3263485898120034,0.6585340585340586,6.367643276850383,41.333333333333336,
5,2.5,0.3,0.47848248791792264,1.1036239672039083,0.3364481815877732,0.6931882931882932,8.037979364395142,54.333333333333336,
5,2.5,0.5,0.44383150455445314,1.0901911868670096,0.3257853926482952,0.660968660968661,8.949236234029135,56.0,
5,2.5,0.7,0.45330458076773167,1.0839405782738158,0.32985812447590696,0.6740222740222741,10.566511631011963,67.0,
5,3.5,0.3,0.46698829398895053,1.1038558315711458,0.3314281262785317,0.6820512820512822,5.989885886510213,39.333333333333336,
5,3.5,0.5,0.4747735300406208,1.0970729186574175,0.33566927404104047,0.6939652939652939,7.8838270505269366,51.666666666666664,
