k,m,xi,Adjusted Rand Index,Adjusted Rand Index Seed,Davies-Bouldin Index,Davies-Bouldin Index Seed,Silhouette Score,Silhouette Score Seed,Purity Score,Purity Score Seed,Time (s),Time (s) Seed,Iterations,Iterations Seed,dataset
7,2.5,0.3,0.5636518461725546,1,1.0693009907645912,1,0.3328476645186532,1,0.7992229992229992,1,6.620357275009155,3,39,0,satimage
7,1.5,0.7,0.5650838707189818,4,1.0702621874306122,0,0.3324366663535596,4,0.7998445998445999,4,4.114990949630737,3,29,3,satimage
7,2.5,0.7,0.5590945719800282,1,1.0674777084723075,0,0.3323938435877991,1,0.7973581973581974,1,6.4534101486206055,1,39,1,satimage
7,3.5,0.3,0.5601819276617697,0,1.0735598767025123,0,0.3321157005454319,0,0.7976689976689977,0,4.940286159515381,2,27,2,satimage
7,3.5,0.5,0.5531443820272746,0,1.0704870240455624,4,0.3317111084174887,0,0.7945609945609946,0,7.183341503143311,2,44,2,satimage
8,1.5,0.3,0.5222854124739924,0,1.1453187146229027,4,0.3389258570895732,0,0.7558663558663559,0,6.000009775161743,3,39,0,satimage
7,3.5,0.7,0.5530403702435348,0,1.065814504256697,0,0.3324905591482461,4,0.7944055944055944,0,5.704050064086914,3,37,4,satimage
8,1.5,0.5,0.553337084609996,0,1.1466866415407615,4,0.3172750136988093,0,0.8062160062160062,0,3.898547410964966,3,23,3,satimage
8,2.5,0.3,0.5504419559286684,0,1.1421302172762515,2,0.3157268912919552,0,0.8045066045066045,0,6.34868311882019,2,34,2,satimage
8,1.5,0.7,0.5532466999485799,0,1.147183167875616,2,0.3172512392303521,0,0.8062160062160062,0,8.319212198257446,1,49,2,satimage
8,2.5,0.5,0.5490913423458168,0,1.1410539046871933,4,0.3216211802052627,2,0.8038850038850038,0,8.4951491355896,4,43,4,satimage
8,2.5,0.7,0.5464135073523751,3,1.131591656311996,0,0.3141796575479045,3,0.8027972027972028,3,5.612910509109497,0,37,0,satimage
8,3.5,0.3,0.5473365830293977,2,1.133152541012278,0,0.3216176001355692,4,0.8027972027972028,2,5.620317220687866,1,32,1,satimage
8,3.5,0.5,0.5410006973195252,2,1.1492889360742216,1,0.3217540577086969,0,0.8,2,8.238219976425171,1,45,0,satimage
8,3.5,0.7,0.5250424421801348,0,1.1312099776072515,3,0.321027002070179,0,0.7965811965811965,1,6.690248489379883,1,40,1,satimage
