Dataset,k,Feature Weighting Method,Selection Method,Distance Metric,r (if Minkowski),Accuracy,Time (seconds)
balance_0,3,chi2,majority,hamming,,0.6774193548387096,0.09408330917358398
balance_0,3,chi2,idw,minkowski,1,0.8064516129032258,0.18733572959899902
balance_0,3,chi2,idw,minkowski,2,0.7903225806451613,0.16727113723754883
balance_0,3,chi2,idw,hamming,,0.6774193548387096,0.0840299129486084
balance_0,3,chi2,sheppard,minkowski,1,0.8064516129032258,0.16871285438537598
balance_0,3,chi2,sheppard,minkowski,2,0.7903225806451613,0.1700453758239746
balance_0,3,chi2,sheppard,hamming,,0.6774193548387096,0.08583378791809082
balance_0,5,eq_weight,majority,minkowski,1,0.7741935483870968,0.1654343605041504
balance_0,5,eq_weight,majority,minkowski,2,0.7903225806451613,0.18920087814331055
balance_0,5,eq_weight,majority,hamming,,0.7741935483870968,0.08876991271972656
balance_0,5,eq_weight,idw,minkowski,1,0.7741935483870968,0.16605567932128906
balance_0,5,eq_weight,idw,minkowski,2,0.7903225806451613,0.16657471656799316
balance_0,5,eq_weight,idw,hamming,,0.7741935483870968,0.0835580825805664
balance_0,5,eq_weight,sheppard,minkowski,1,0.7741935483870968,0.16291236877441406
balance_0,5,eq_weight,sheppard,minkowski,2,0.7903225806451613,0.16678380966186523
balance_0,5,eq_weight,sheppard,hamming,,0.7741935483870968,0.08465075492858887
balance_0,5,information_gain,majority,minkowski,1,0.45161290322580644,0.20103669166564941
balance_0,5,information_gain,majority,minkowski,2,0.45161290322580644,0.2027285099029541
balance_0,5,information_gain,majority,hamming,,0.8064516129032258,0.11879920959472656
balance_0,5,information_gain,idw,minkowski,1,0.45161290322580644,0.20611357688903809
balance_0,5,information_gain,idw,minkowski,2,0.45161290322580644,0.20332860946655273
balance_0,5,information_gain,idw,hamming,,0.7903225806451613,0.1192159652709961
balance_0,5,information_gain,sheppard,minkowski,1,0.45161290322580644,0.20455694198608398
balance_0,5,information_gain,sheppard,minkowski,2,0.45161290322580644,0.2032613754272461
balance_0,5,information_gain,sheppard,hamming,,0.8064516129032258,0.11926078796386719
balance_0,5,chi2,majority,minkowski,1,0.7903225806451613,0.1657874584197998
balance_0,5,chi2,majority,minkowski,2,0.7741935483870968,0.16547513008117676
balance_0,5,chi2,majority,hamming,,0.7741935483870968,0.08266687393188477
balance_0,5,chi2,idw,minkowski,1,0.8225806451612904,0.16582393646240234
balance_0,5,chi2,idw,minkowski,2,0.8225806451612904,0.16614603996276855
balance_0,5,chi2,idw,hamming,,0.7741935483870968,0.0836479663848877
