Dataset,k,Feature Weighting Method,Selection Method,Distance Metric,r (if Minkowski),Accuracy,Time (seconds)
balance_3,1,chi2,idw,hamming,,0.6,0.08747625350952148
balance_3,1,chi2,sheppard,minkowski,1,0.8,0.17179632186889648
balance_3,1,chi2,sheppard,minkowski,2,0.8,0.172684907913208
balance_3,1,chi2,sheppard,hamming,,0.6,0.08806037902832031
balance_3,3,eq_weight,majority,minkowski,1,0.6461538461538462,0.1689014434814453
balance_3,3,eq_weight,majority,minkowski,2,0.6307692307692307,0.17001581192016602
balance_3,3,eq_weight,majority,hamming,,0.6461538461538462,0.0851449966430664
balance_3,3,eq_weight,idw,minkowski,1,0.6461538461538462,0.17140507698059082
balance_3,3,eq_weight,idw,minkowski,2,0.6307692307692307,0.16825270652770996
balance_3,3,eq_weight,idw,hamming,,0.6461538461538462,0.08703446388244629
balance_3,3,eq_weight,sheppard,minkowski,1,0.6461538461538462,0.1673283576965332
balance_3,3,eq_weight,sheppard,minkowski,2,0.6307692307692307,0.16701650619506836
balance_3,3,eq_weight,sheppard,hamming,,0.6461538461538462,0.08580827713012695
balance_3,3,information_gain,majority,minkowski,1,0.46153846153846156,0.20503807067871094
balance_3,3,information_gain,majority,minkowski,2,0.46153846153846156,0.21006226539611816
balance_3,3,information_gain,majority,hamming,,0.6923076923076923,0.12195849418640137
balance_3,3,information_gain,idw,minkowski,1,0.46153846153846156,0.20959258079528809
balance_3,3,information_gain,idw,minkowski,2,0.46153846153846156,0.2090892791748047
balance_3,3,information_gain,idw,hamming,,0.6615384615384615,0.12145066261291504
balance_3,3,information_gain,sheppard,minkowski,1,0.46153846153846156,0.209855318069458
balance_3,3,information_gain,sheppard,minkowski,2,0.46153846153846156,0.20923733711242676
balance_3,3,information_gain,sheppard,hamming,,0.7692307692307693,0.12198472023010254
balance_3,3,chi2,majority,minkowski,1,0.7384615384615385,0.17326760292053223
balance_3,3,chi2,majority,minkowski,2,0.7384615384615385,0.17042326927185059
balance_3,3,chi2,majority,hamming,,0.6461538461538462,0.08618021011352539
balance_3,3,chi2,idw,minkowski,1,0.7692307692307693,0.1737983226776123
balance_3,3,chi2,idw,minkowski,2,0.7538461538461538,0.17324161529541016
balance_3,3,chi2,idw,hamming,,0.6461538461538462,0.0884859561920166
balance_3,3,chi2,sheppard,minkowski,1,0.8,0.17260956764221191
balance_3,3,chi2,sheppard,minkowski,2,0.8,0.17409658432006836
balance_3,3,chi2,sheppard,hamming,,0.6461538461538462,0.08807659149169922
balance_3,5,eq_weight,majority,minkowski,1,0.6923076923076923,0.17056751251220703
balance_3,5,eq_weight,majority,minkowski,2,0.7076923076923077,0.1694505214691162
balance_3,5,eq_weight,majority,hamming,,0.6923076923076923,0.08629703521728516
balance_3,5,eq_weight,idw,minkowski,1,0.6923076923076923,0.17248868942260742
balance_3,5,eq_weight,idw,minkowski,2,0.7076923076923077,0.17164087295532227
balance_3,5,eq_weight,idw,hamming,,0.6923076923076923,0.08740496635437012
balance_3,5,eq_weight,sheppard,minkowski,1,0.6923076923076923,0.17100286483764648
balance_3,5,eq_weight,sheppard,minkowski,2,0.7076923076923077,0.17177176475524902
balance_3,5,eq_weight,sheppard,hamming,,0.6923076923076923,0.08713960647583008
balance_3,5,information_gain,majority,minkowski,1,0.46153846153846156,0.20632052421569824
balance_3,5,information_gain,majority,minkowski,2,0.46153846153846156,0.20680570602416992
balance_3,5,information_gain,majority,hamming,,0.7538461538461538,0.1208944320678711
balance_3,5,information_gain,idw,minkowski,1,0.4461538461538462,0.20767545700073242
balance_3,5,information_gain,idw,minkowski,2,0.46153846153846156,0.20970606803894043
balance_3,5,information_gain,idw,hamming,,0.7692307692307693,0.12341761589050293
balance_3,5,information_gain,sheppard,minkowski,1,0.46153846153846156,0.21126079559326172
balance_3,5,information_gain,sheppard,minkowski,2,0.46153846153846156,0.20995235443115234
balance_3,5,information_gain,sheppard,hamming,,0.7846153846153846,0.12336611747741699
balance_3,5,chi2,majority,minkowski,1,0.676923076923077,0.17403602600097656
balance_3,5,chi2,majority,minkowski,2,0.7076923076923077,0.1745913028717041
balance_3,5,chi2,majority,hamming,,0.6923076923076923,0.08836770057678223
balance_3,5,chi2,idw,minkowski,1,0.7846153846153846,0.1767561435699463
balance_3,5,chi2,idw,minkowski,2,0.7692307692307693,0.17764592170715332
balance_3,5,chi2,idw,hamming,,0.6923076923076923,0.08802008628845215
balance_3,5,chi2,sheppard,minkowski,1,0.8,0.17397499084472656
balance_3,5,chi2,sheppard,minkowski,2,0.8,0.17555618286132812
balance_3,5,chi2,sheppard,hamming,,0.6923076923076923,0.08828496932983398
balance_3,7,eq_weight,majority,minkowski,1,0.7384615384615385,0.16727352142333984
balance_3,7,eq_weight,majority,minkowski,2,0.7384615384615385,0.17147278785705566
balance_3,7,eq_weight,majority,hamming,,0.7384615384615385,0.08527851104736328
balance_3,7,eq_weight,idw,minkowski,1,0.7384615384615385,0.171677827835083
balance_3,7,eq_weight,idw,minkowski,2,0.7384615384615385,0.1711864471435547
balance_3,7,eq_weight,idw,hamming,,0.7384615384615385,0.08913111686706543
balance_3,7,eq_weight,sheppard,minkowski,1,0.7384615384615385,0.17598295211791992
balance_3,7,eq_weight,sheppard,minkowski,2,0.7384615384615385,0.18202519416809082
balance_3,7,eq_weight,sheppard,hamming,,0.7384615384615385,0.08858728408813477
balance_3,7,information_gain,majority,minkowski,1,0.46153846153846156,0.20747995376586914
balance_3,7,information_gain,majority,minkowski,2,0.46153846153846156,0.21115994453430176
balance_3,7,information_gain,majority,hamming,,0.8,0.120452880859375
balance_3,7,information_gain,idw,minkowski,1,0.5384615384615384,0.21214604377746582
balance_3,7,information_gain,idw,minkowski,2,0.6,0.21203255653381348
balance_3,7,information_gain,idw,hamming,,0.7538461538461538,0.12365269660949707
balance_3,7,information_gain,sheppard,minkowski,1,0.46153846153846156,0.21122455596923828
balance_3,7,information_gain,sheppard,minkowski,2,0.46153846153846156,0.21017718315124512
balance_3,7,information_gain,sheppard,hamming,,0.8307692307692308,0.12466311454772949
balance_3,7,chi2,majority,minkowski,1,0.6923076923076923,0.17251324653625488
balance_3,7,chi2,majority,minkowski,2,0.7076923076923077,0.17296886444091797
balance_3,7,chi2,majority,hamming,,0.7384615384615385,0.08581376075744629
balance_3,7,chi2,idw,minkowski,1,0.7846153846153846,0.1764967441558838
balance_3,7,chi2,idw,minkowski,2,0.7692307692307693,0.18085455894470215
balance_3,7,chi2,idw,hamming,,0.7384615384615385,0.08955979347229004
balance_3,7,chi2,sheppard,minkowski,1,0.8,0.17683696746826172
balance_3,7,chi2,sheppard,minkowski,2,0.8,0.17839884757995605
balance_3,7,chi2,sheppard,hamming,,0.7384615384615385,0.08840584754943848
balance_4,1,eq_weight,majority,minkowski,1,0.6507936507936508,0.16762328147888184
balance_4,1,eq_weight,majority,minkowski,2,0.746031746031746,0.16640496253967285
balance_4,1,eq_weight,majority,hamming,,0.6507936507936508,0.08345627784729004
balance_4,1,eq_weight,idw,minkowski,1,0.6507936507936508,0.16939115524291992
balance_4,1,eq_weight,idw,minkowski,2,0.746031746031746,0.16576600074768066
balance_4,1,eq_weight,idw,hamming,,0.6507936507936508,0.08443093299865723
balance_4,1,eq_weight,sheppard,minkowski,1,0.6507936507936508,0.16518330574035645
balance_4,1,eq_weight,sheppard,minkowski,2,0.746031746031746,0.16629552841186523
balance_4,1,eq_weight,sheppard,hamming,,0.6507936507936508,0.08458304405212402
balance_4,1,information_gain,majority,minkowski,1,0.4444444444444444,0.20260047912597656
balance_4,1,information_gain,majority,minkowski,2,0.4444444444444444,0.20486211776733398
balance_4,1,information_gain,majority,hamming,,0.7777777777777778,0.11787724494934082
balance_4,1,information_gain,idw,minkowski,1,0.4444444444444444,0.20528936386108398
balance_4,1,information_gain,idw,minkowski,2,0.4444444444444444,0.2048640251159668
balance_4,1,information_gain,idw,hamming,,0.7777777777777778,0.11980104446411133
balance_4,1,information_gain,sheppard,minkowski,1,0.4444444444444444,0.20435523986816406
balance_4,1,information_gain,sheppard,minkowski,2,0.4444444444444444,0.20438909530639648
balance_4,1,information_gain,sheppard,hamming,,0.7301587301587301,0.12080717086791992
balance_4,1,chi2,majority,minkowski,1,0.8253968253968254,0.1693120002746582
balance_4,1,chi2,majority,minkowski,2,0.8095238095238095,0.16965293884277344
balance_4,1,chi2,majority,hamming,,0.6507936507936508,0.08627796173095703
balance_4,1,chi2,idw,minkowski,1,0.8253968253968254,0.16939020156860352
balance_4,1,chi2,idw,minkowski,2,0.8095238095238095,0.16814684867858887
balance_4,1,chi2,idw,hamming,,0.6507936507936508,0.08527588844299316
balance_4,1,chi2,sheppard,minkowski,1,0.8253968253968254,0.16800808906555176
balance_4,1,chi2,sheppard,minkowski,2,0.8095238095238095,0.16764473915100098
balance_4,1,chi2,sheppard,hamming,,0.6507936507936508,0.08301973342895508
balance_4,3,eq_weight,majority,minkowski,1,0.6666666666666666,0.16497373580932617
balance_4,3,eq_weight,majority,minkowski,2,0.7936507936507936,0.1641530990600586
balance_4,3,eq_weight,majority,hamming,,0.6666666666666666,0.08356618881225586
balance_4,3,eq_weight,idw,minkowski,1,0.6666666666666666,0.1651763916015625
balance_4,3,eq_weight,idw,minkowski,2,0.7936507936507936,0.16362571716308594
balance_4,3,eq_weight,idw,hamming,,0.6666666666666666,0.08566117286682129
balance_4,3,eq_weight,sheppard,minkowski,1,0.6666666666666666,0.16554546356201172
balance_4,3,eq_weight,sheppard,minkowski,2,0.7936507936507936,0.1672511100769043
balance_4,3,eq_weight,sheppard,hamming,,0.6666666666666666,0.08311343193054199
balance_4,3,information_gain,majority,minkowski,1,0.4444444444444444,0.202988862991333
balance_4,3,information_gain,majority,minkowski,2,0.4444444444444444,0.20259976387023926
balance_4,3,information_gain,majority,hamming,,0.746031746031746,0.12140512466430664
balance_4,3,information_gain,idw,minkowski,1,0.5396825396825397,0.20411992073059082
balance_4,3,information_gain,idw,minkowski,2,0.49206349206349204,0.2020878791809082
balance_4,3,information_gain,idw,hamming,,0.7777777777777778,0.11943912506103516
balance_4,3,information_gain,sheppard,minkowski,1,0.4444444444444444,0.20475149154663086
balance_4,3,information_gain,sheppard,minkowski,2,0.4444444444444444,0.20781779289245605
balance_4,3,information_gain,sheppard,hamming,,0.7142857142857143,0.12049007415771484
balance_4,3,chi2,majority,minkowski,1,0.7936507936507936,0.16667890548706055
balance_4,3,chi2,majority,minkowski,2,0.7936507936507936,0.16854214668273926
balance_4,3,chi2,majority,hamming,,0.6666666666666666,0.08395767211914062
balance_4,3,chi2,idw,minkowski,1,0.8095238095238095,0.16956233978271484
balance_4,3,chi2,idw,minkowski,2,0.8095238095238095,0.17367339134216309
balance_4,3,chi2,idw,hamming,,0.6666666666666666,0.0862271785736084
balance_4,3,chi2,sheppard,minkowski,1,0.8095238095238095,0.16857552528381348
balance_4,3,chi2,sheppard,minkowski,2,0.8095238095238095,0.1677703857421875
balance_4,3,chi2,sheppard,hamming,,0.6666666666666666,0.08542060852050781
balance_4,5,eq_weight,majority,minkowski,1,0.7777777777777778,0.16447854042053223
balance_4,5,eq_weight,majority,minkowski,2,0.8412698412698413,0.16608738899230957
balance_4,5,eq_weight,majority,hamming,,0.7777777777777778,0.08304476737976074
balance_4,5,eq_weight,idw,minkowski,1,0.7777777777777778,0.1641979217529297
balance_4,5,eq_weight,idw,minkowski,2,0.8412698412698413,0.16710233688354492
balance_4,5,eq_weight,idw,hamming,,0.7777777777777778,0.08400559425354004
balance_4,5,eq_weight,sheppard,minkowski,1,0.7777777777777778,0.16657710075378418
balance_4,5,eq_weight,sheppard,minkowski,2,0.8412698412698413,0.16427874565124512
balance_4,5,eq_weight,sheppard,hamming,,0.7777777777777778,0.08351588249206543
balance_4,5,information_gain,majority,minkowski,1,0.49206349206349204,0.20087862014770508
balance_4,5,information_gain,majority,minkowski,2,0.49206349206349204,0.19713139533996582
balance_4,5,information_gain,majority,hamming,,0.7619047619047619,0.11632704734802246
balance_4,5,information_gain,idw,minkowski,1,0.6190476190476191,0.20006179809570312
balance_4,5,information_gain,idw,minkowski,2,0.5555555555555556,0.2030811309814453
balance_4,5,information_gain,idw,hamming,,0.6984126984126984,0.11615300178527832
balance_4,5,information_gain,sheppard,minkowski,1,0.49206349206349204,0.20102810859680176
balance_4,5,information_gain,sheppard,minkowski,2,0.49206349206349204,0.2033383846282959
balance_4,5,information_gain,sheppard,hamming,,0.7936507936507936,0.11858630180358887
balance_4,5,chi2,majority,minkowski,1,0.7619047619047619,0.16660189628601074
balance_4,5,chi2,majority,minkowski,2,0.7619047619047619,0.164306640625
balance_4,5,chi2,majority,hamming,,0.7777777777777778,0.08453917503356934
balance_4,5,chi2,idw,minkowski,1,0.8412698412698413,0.16928601264953613
balance_4,5,chi2,idw,minkowski,2,0.8571428571428571,0.16924238204956055
balance_4,5,chi2,idw,hamming,,0.7777777777777778,0.08587646484375
balance_4,5,chi2,sheppard,minkowski,1,0.8095238095238095,0.1679365634918213
balance_4,5,chi2,sheppard,minkowski,2,0.8095238095238095,0.16929364204406738
balance_4,5,chi2,sheppard,hamming,,0.7777777777777778,0.08331155776977539
balance_4,7,eq_weight,majority,minkowski,1,0.8095238095238095,0.1621558666229248
balance_4,7,eq_weight,majority,minkowski,2,0.8253968253968254,0.16122889518737793
balance_4,7,eq_weight,majority,hamming,,0.8095238095238095,0.08161044120788574
balance_4,7,eq_weight,idw,minkowski,1,0.8095238095238095,0.16501331329345703
balance_4,7,eq_weight,idw,minkowski,2,0.8253968253968254,0.16404128074645996
balance_4,7,eq_weight,idw,hamming,,0.8095238095238095,0.08313655853271484
balance_4,7,eq_weight,sheppard,minkowski,1,0.8095238095238095,0.1643984317779541
balance_4,7,eq_weight,sheppard,minkowski,2,0.8253968253968254,0.16487360000610352
balance_4,7,eq_weight,sheppard,hamming,,0.8095238095238095,0.08441519737243652
balance_4,7,information_gain,majority,minkowski,1,0.49206349206349204,0.20254182815551758
balance_4,7,information_gain,majority,minkowski,2,0.49206349206349204,0.20183801651000977
balance_4,7,information_gain,majority,hamming,,0.7936507936507936,0.11977553367614746
balance_4,7,information_gain,idw,minkowski,1,0.5396825396825397,0.20305562019348145
balance_4,7,information_gain,idw,minkowski,2,0.5079365079365079,0.20391011238098145
balance_4,7,information_gain,idw,hamming,,0.7777777777777778,0.11954736709594727
balance_4,7,information_gain,sheppard,minkowski,1,0.49206349206349204,0.20318341255187988
balance_4,7,information_gain,sheppard,minkowski,2,0.49206349206349204,0.20644164085388184
balance_4,7,information_gain,sheppard,hamming,,0.7936507936507936,0.12050247192382812
balance_4,7,chi2,majority,minkowski,1,0.7936507936507936,0.1674213409423828
balance_4,7,chi2,majority,minkowski,2,0.7619047619047619,0.16823077201843262
balance_4,7,chi2,majority,hamming,,0.8095238095238095,0.08442544937133789
balance_4,7,chi2,idw,minkowski,1,0.873015873015873,0.16936469078063965
balance_4,7,chi2,idw,minkowski,2,0.8571428571428571,0.17186903953552246
balance_4,7,chi2,idw,hamming,,0.8095238095238095,0.08594012260437012
balance_4,7,chi2,sheppard,minkowski,1,0.8095238095238095,0.1688675880432129
balance_4,7,chi2,sheppard,minkowski,2,0.8095238095238095,0.16869211196899414
balance_4,7,chi2,sheppard,hamming,,0.8095238095238095,0.0866851806640625
balance_5,1,eq_weight,majority,minkowski,1,0.65625,0.16800475120544434
balance_5,1,eq_weight,majority,minkowski,2,0.640625,0.1654801368713379
balance_5,1,eq_weight,majority,hamming,,0.65625,0.084381103515625
balance_5,1,eq_weight,idw,minkowski,1,0.65625,0.16472387313842773
balance_5,1,eq_weight,idw,minkowski,2,0.640625,0.1650099754333496
balance_5,1,eq_weight,idw,hamming,,0.65625,0.08249998092651367
balance_5,1,eq_weight,sheppard,minkowski,1,0.65625,0.16540265083312988
balance_5,1,eq_weight,sheppard,minkowski,2,0.640625,0.1651444435119629
balance_5,1,eq_weight,sheppard,hamming,,0.65625,0.08594512939453125
balance_5,1,information_gain,majority,minkowski,1,0.4375,0.20463347434997559
balance_5,1,information_gain,majority,minkowski,2,0.4375,0.2020881175994873
balance_5,1,information_gain,majority,hamming,,0.71875,0.12090659141540527
balance_5,1,information_gain,idw,minkowski,1,0.4375,0.20823240280151367
balance_5,1,information_gain,idw,minkowski,2,0.4375,0.2046489715576172
balance_5,1,information_gain,idw,hamming,,0.6875,0.12071442604064941
balance_5,1,information_gain,sheppard,minkowski,1,0.4375,0.20614385604858398
balance_5,1,information_gain,sheppard,minkowski,2,0.4375,0.20802092552185059
balance_5,1,information_gain,sheppard,hamming,,0.75,0.12146711349487305
balance_5,1,chi2,majority,minkowski,1,0.84375,0.1721937656402588
balance_5,1,chi2,majority,minkowski,2,0.828125,0.1701810359954834
balance_5,1,chi2,majority,hamming,,0.65625,0.08574867248535156
balance_5,1,chi2,idw,minkowski,1,0.84375,0.17054152488708496
balance_5,1,chi2,idw,minkowski,2,0.828125,0.17195701599121094
balance_5,1,chi2,idw,hamming,,0.65625,0.08670902252197266
balance_5,1,chi2,sheppard,minkowski,1,0.84375,0.17040371894836426
balance_5,1,chi2,sheppard,minkowski,2,0.828125,0.17874503135681152
balance_5,1,chi2,sheppard,hamming,,0.65625,0.08557987213134766
balance_5,3,eq_weight,majority,minkowski,1,0.75,0.16580557823181152
balance_5,3,eq_weight,majority,minkowski,2,0.75,0.16484403610229492
balance_5,3,eq_weight,majority,hamming,,0.75,0.08582830429077148
balance_5,3,eq_weight,idw,minkowski,1,0.75,0.16640877723693848
balance_5,3,eq_weight,idw,minkowski,2,0.75,0.16634225845336914
balance_5,3,eq_weight,idw,hamming,,0.75,0.08616399765014648
balance_5,3,eq_weight,sheppard,minkowski,1,0.75,0.16764426231384277
balance_5,3,eq_weight,sheppard,minkowski,2,0.75,0.16731715202331543
balance_5,3,eq_weight,sheppard,hamming,,0.75,0.08597707748413086
balance_5,3,information_gain,majority,minkowski,1,0.4375,0.20372533798217773
balance_5,3,information_gain,majority,minkowski,2,0.4375,0.20483112335205078
balance_5,3,information_gain,majority,hamming,,0.6875,0.1189572811126709
balance_5,3,information_gain,idw,minkowski,1,0.4375,0.2069246768951416
balance_5,3,information_gain,idw,minkowski,2,0.4375,0.20466947555541992
balance_5,3,information_gain,idw,hamming,,0.78125,0.11893820762634277
balance_5,3,information_gain,sheppard,minkowski,1,0.4375,0.21039867401123047
balance_5,3,information_gain,sheppard,minkowski,2,0.4375,0.2063436508178711
balance_5,3,information_gain,sheppard,hamming,,0.828125,0.12116193771362305
balance_5,3,chi2,majority,minkowski,1,0.859375,0.17226481437683105
balance_5,3,chi2,majority,minkowski,2,0.859375,0.16866421699523926
balance_5,3,chi2,majority,hamming,,0.75,0.08570337295532227
balance_5,3,chi2,idw,minkowski,1,0.84375,0.1742093563079834
balance_5,3,chi2,idw,minkowski,2,0.828125,0.17263412475585938
balance_5,3,chi2,idw,hamming,,0.75,0.08696126937866211
balance_5,3,chi2,sheppard,minkowski,1,0.828125,0.1734764575958252
balance_5,3,chi2,sheppard,minkowski,2,0.828125,0.20239734649658203
balance_5,3,chi2,sheppard,hamming,,0.75,0.08867001533508301
balance_5,5,eq_weight,majority,minkowski,1,0.78125,0.1660327911376953
balance_5,5,eq_weight,majority,minkowski,2,0.765625,0.1659543514251709
balance_5,5,eq_weight,majority,hamming,,0.78125,0.08582806587219238
balance_5,5,eq_weight,idw,minkowski,1,0.78125,0.16801857948303223
balance_5,5,eq_weight,idw,minkowski,2,0.765625,0.16834592819213867
balance_5,5,eq_weight,idw,hamming,,0.78125,0.08752846717834473
balance_5,5,eq_weight,sheppard,minkowski,1,0.78125,0.16894125938415527
balance_5,5,eq_weight,sheppard,minkowski,2,0.765625,0.17098426818847656
balance_5,5,eq_weight,sheppard,hamming,,0.78125,0.08664703369140625
balance_5,5,information_gain,majority,minkowski,1,0.4375,0.20610690116882324
balance_5,5,information_gain,majority,minkowski,2,0.4375,0.20572972297668457
balance_5,5,information_gain,majority,hamming,,0.84375,0.1226193904876709
balance_5,5,information_gain,idw,minkowski,1,0.5,0.20911383628845215
balance_5,5,information_gain,idw,minkowski,2,0.546875,0.20920324325561523
balance_5,5,information_gain,idw,hamming,,0.84375,0.12247109413146973
balance_5,5,information_gain,sheppard,minkowski,1,0.4375,0.208099365234375
balance_5,5,information_gain,sheppard,minkowski,2,0.4375,0.20877456665039062
balance_5,5,information_gain,sheppard,hamming,,0.84375,0.12249255180358887
balance_5,5,chi2,majority,minkowski,1,0.78125,0.17185091972351074
balance_5,5,chi2,majority,minkowski,2,0.78125,0.17173314094543457
balance_5,5,chi2,majority,hamming,,0.78125,0.08573722839355469
balance_5,5,chi2,idw,minkowski,1,0.84375,0.17120838165283203
balance_5,5,chi2,idw,minkowski,2,0.84375,0.17370820045471191
balance_5,5,chi2,idw,hamming,,0.78125,0.0872044563293457
balance_5,5,chi2,sheppard,minkowski,1,0.828125,0.17229485511779785
balance_5,5,chi2,sheppard,minkowski,2,0.828125,0.16974663734436035
balance_5,5,chi2,sheppard,hamming,,0.78125,0.08707284927368164
balance_5,7,eq_weight,majority,minkowski,1,0.859375,0.1653139591217041
balance_5,7,eq_weight,majority,minkowski,2,0.765625,0.1644454002380371
balance_5,7,eq_weight,majority,hamming,,0.859375,0.08334732055664062
balance_5,7,eq_weight,idw,minkowski,1,0.859375,0.17124366760253906
balance_5,7,eq_weight,idw,minkowski,2,0.765625,0.17077183723449707
balance_5,7,eq_weight,idw,hamming,,0.859375,0.08584189414978027
balance_5,7,eq_weight,sheppard,minkowski,1,0.859375,0.17067980766296387
balance_5,7,eq_weight,sheppard,minkowski,2,0.765625,0.16772174835205078
balance_5,7,eq_weight,sheppard,hamming,,0.859375,0.08681821823120117
balance_5,7,information_gain,majority,minkowski,1,0.484375,0.2065126895904541
balance_5,7,information_gain,majority,minkowski,2,0.484375,0.20461249351501465
balance_5,7,information_gain,majority,hamming,,0.796875,0.11992025375366211
balance_5,7,information_gain,idw,minkowski,1,0.5625,0.20740580558776855
balance_5,7,information_gain,idw,minkowski,2,0.546875,0.20701932907104492
balance_5,7,information_gain,idw,hamming,,0.796875,0.12212729454040527
balance_5,7,information_gain,sheppard,minkowski,1,0.484375,0.2090139389038086
balance_5,7,information_gain,sheppard,minkowski,2,0.484375,0.20621514320373535
balance_5,7,information_gain,sheppard,hamming,,0.765625,0.1220557689666748
balance_5,7,chi2,majority,minkowski,1,0.8125,0.17345190048217773
balance_5,7,chi2,majority,minkowski,2,0.8125,0.17158126831054688
balance_5,7,chi2,majority,hamming,,0.859375,0.08503031730651855
balance_5,7,chi2,idw,minkowski,1,0.84375,0.1736752986907959
balance_5,7,chi2,idw,minkowski,2,0.84375,0.1746985912322998
balance_5,7,chi2,idw,hamming,,0.859375,0.08728957176208496
balance_5,7,chi2,sheppard,minkowski,1,0.828125,0.17370223999023438
balance_5,7,chi2,sheppard,minkowski,2,0.828125,0.1739673614501953
balance_5,7,chi2,sheppard,hamming,,0.859375,0.08868694305419922
balance_6,1,eq_weight,majority,minkowski,1,0.7049180327868853,0.16071176528930664
balance_6,1,eq_weight,majority,minkowski,2,0.5409836065573771,0.1602916717529297
balance_6,1,eq_weight,majority,hamming,,0.7049180327868853,0.08077549934387207
balance_6,1,eq_weight,idw,minkowski,1,0.7049180327868853,0.15934300422668457
balance_6,1,eq_weight,idw,minkowski,2,0.5409836065573771,0.15771245956420898
balance_6,1,eq_weight,idw,hamming,,0.7049180327868853,0.08165884017944336
balance_6,1,eq_weight,sheppard,minkowski,1,0.7049180327868853,0.16147565841674805
balance_6,1,eq_weight,sheppard,minkowski,2,0.5409836065573771,0.16050505638122559
balance_6,1,eq_weight,sheppard,hamming,,0.7049180327868853,0.08151626586914062
balance_6,1,information_gain,majority,minkowski,1,0.45901639344262296,0.19969749450683594
balance_6,1,information_gain,majority,minkowski,2,0.45901639344262296,0.19670772552490234
balance_6,1,information_gain,majority,hamming,,0.7213114754098361,0.11701178550720215
balance_6,1,information_gain,idw,minkowski,1,0.45901639344262296,0.19941377639770508
balance_6,1,information_gain,idw,minkowski,2,0.45901639344262296,0.1973881721496582
balance_6,1,information_gain,idw,hamming,,0.7049180327868853,0.11929941177368164
balance_6,1,information_gain,sheppard,minkowski,1,0.45901639344262296,0.20076417922973633
balance_6,1,information_gain,sheppard,minkowski,2,0.45901639344262296,0.2026195526123047
balance_6,1,information_gain,sheppard,hamming,,0.8688524590163934,0.11629390716552734
balance_6,1,chi2,majority,minkowski,1,0.8360655737704918,0.16577577590942383
balance_6,1,chi2,majority,minkowski,2,0.8360655737704918,0.1656351089477539
balance_6,1,chi2,majority,hamming,,0.7049180327868853,0.08892178535461426
balance_6,1,chi2,idw,minkowski,1,0.8360655737704918,0.1623678207397461
balance_6,1,chi2,idw,minkowski,2,0.8360655737704918,0.16664719581604004
balance_6,1,chi2,idw,hamming,,0.7049180327868853,0.08280467987060547
balance_6,1,chi2,sheppard,minkowski,1,0.8360655737704918,0.1655418872833252
balance_6,1,chi2,sheppard,minkowski,2,0.8360655737704918,0.16499805450439453
balance_6,1,chi2,sheppard,hamming,,0.7049180327868853,0.08295893669128418
balance_6,3,eq_weight,majority,minkowski,1,0.6721311475409836,0.15936636924743652
balance_6,3,eq_weight,majority,minkowski,2,0.5737704918032787,0.1567826271057129
balance_6,3,eq_weight,majority,hamming,,0.6721311475409836,0.08219122886657715
balance_6,3,eq_weight,idw,minkowski,1,0.6721311475409836,0.16095352172851562
balance_6,3,eq_weight,idw,minkowski,2,0.5737704918032787,0.16022753715515137
balance_6,3,eq_weight,idw,hamming,,0.6721311475409836,0.08476400375366211
balance_6,3,eq_weight,sheppard,minkowski,1,0.6721311475409836,0.16103196144104004
balance_6,3,eq_weight,sheppard,minkowski,2,0.5737704918032787,0.16025352478027344
balance_6,3,eq_weight,sheppard,hamming,,0.6721311475409836,0.0825951099395752
balance_6,3,information_gain,majority,minkowski,1,0.45901639344262296,0.19817233085632324
balance_6,3,information_gain,majority,minkowski,2,0.45901639344262296,0.19942975044250488
balance_6,3,information_gain,majority,hamming,,0.7213114754098361,0.11495494842529297
balance_6,3,information_gain,idw,minkowski,1,0.45901639344262296,0.19864106178283691
balance_6,3,information_gain,idw,minkowski,2,0.45901639344262296,0.20038366317749023
balance_6,3,information_gain,idw,hamming,,0.6885245901639344,0.11793804168701172
balance_6,3,information_gain,sheppard,minkowski,1,0.45901639344262296,0.2001936435699463
balance_6,3,information_gain,sheppard,minkowski,2,0.45901639344262296,0.1990799903869629
balance_6,3,information_gain,sheppard,hamming,,0.7704918032786885,0.11810064315795898
balance_6,3,chi2,majority,minkowski,1,0.819672131147541,0.16716599464416504
balance_6,3,chi2,majority,minkowski,2,0.8360655737704918,0.1649303436279297
balance_6,3,chi2,majority,hamming,,0.6721311475409836,0.0832667350769043
balance_6,3,chi2,idw,minkowski,1,0.819672131147541,0.16444993019104004
balance_6,3,chi2,idw,minkowski,2,0.8360655737704918,0.16618776321411133
balance_6,3,chi2,idw,hamming,,0.6721311475409836,0.08438849449157715
balance_6,3,chi2,sheppard,minkowski,1,0.8360655737704918,0.16486883163452148
balance_6,3,chi2,sheppard,minkowski,2,0.8360655737704918,0.16514921188354492
balance_6,3,chi2,sheppard,hamming,,0.6721311475409836,0.08307933807373047
balance_6,5,eq_weight,majority,minkowski,1,0.7049180327868853,0.15621447563171387
balance_6,5,eq_weight,majority,minkowski,2,0.6229508196721312,0.1571338176727295
balance_6,5,eq_weight,majority,hamming,,0.7049180327868853,0.08002805709838867
balance_6,5,eq_weight,idw,minkowski,1,0.7049180327868853,0.15769386291503906
balance_6,5,eq_weight,idw,minkowski,2,0.6229508196721312,0.15841102600097656
balance_6,5,eq_weight,idw,hamming,,0.7049180327868853,0.08095812797546387
