Dataset,Accuracy,Time (seconds),kernel,C,class_weight,shrinking,gamma
balance_0,0.9354838709677419,0.03200101852416992,rbf,100.0,balanced,False,0.1
balance_0,0.8225806451612904,0.04063677787780762,rbf,100.0,,True,1
balance_0,0.8225806451612904,0.040024757385253906,rbf,100.0,,False,1
balance_0,0.8225806451612904,0.03999924659729004,rbf,100.0,balanced,True,1
balance_0,0.8225806451612904,0.04068160057067871,rbf,100.0,balanced,False,1
balance_1,0.45161290322580644,0.015976428985595703,linear,0.001,,True,
balance_1,0.45161290322580644,0.02427387237548828,linear,0.001,,False,
balance_1,0.08064516129032258,0.031731605529785156,linear,0.001,balanced,True,
balance_1,0.08064516129032258,0.032671451568603516,linear,0.001,balanced,False,
balance_1,0.9032258064516129,0.008013486862182617,linear,0.01,,True,
balance_1,0.9032258064516129,0.016136646270751953,linear,0.01,,False,
balance_1,0.08064516129032258,0.02402520179748535,linear,0.01,balanced,True,
balance_1,0.08064516129032258,0.015999794006347656,linear,0.01,balanced,False,
balance_1,0.8709677419354839,0.007999897003173828,linear,0.1,,True,
balance_1,0.8709677419354839,0.016528844833374023,linear,0.1,,False,
balance_1,0.6290322580645161,0.016025304794311523,linear,0.1,balanced,True,
balance_1,0.6290322580645161,0.015978336334228516,linear,0.1,balanced,False,
balance_1,0.9193548387096774,0.016005754470825195,linear,1.0,,True,
balance_1,0.9193548387096774,0.01621532440185547,linear,1.0,,False,
balance_1,0.7903225806451613,0.007999658584594727,linear,1.0,balanced,True,
balance_1,0.7903225806451613,0.016000032424926758,linear,1.0,balanced,False,
balance_1,0.9193548387096774,0.01597738265991211,linear,10.0,,True,
balance_1,0.9193548387096774,0.008022785186767578,linear,10.0,,False,
balance_1,0.9193548387096774,0.0121612548828125,linear,10.0,balanced,True,
balance_1,0.9193548387096774,0.016229867935180664,linear,10.0,balanced,False,
balance_1,0.9838709677419355,0.024266481399536133,linear,100.0,,True,
balance_1,0.9838709677419355,0.03213024139404297,linear,100.0,,False,
balance_1,0.967741935483871,0.015976667404174805,linear,100.0,balanced,True,
balance_1,0.967741935483871,0.03202342987060547,linear,100.0,balanced,False,
balance_1,0.45161290322580644,0.03200030326843262,rbf,0.001,,True,scale
balance_1,0.45161290322580644,0.02625560760498047,rbf,0.001,,False,scale
balance_1,0.08064516129032258,0.0400395393371582,rbf,0.001,balanced,True,scale
balance_1,0.08064516129032258,0.04018211364746094,rbf,0.001,balanced,False,scale
balance_1,0.45161290322580644,0.031999826431274414,rbf,0.001,,True,auto
balance_1,0.45161290322580644,0.03251075744628906,rbf,0.001,,False,auto
balance_1,0.08064516129032258,0.040003061294555664,rbf,0.001,balanced,True,auto
balance_1,0.08064516129032258,0.04037046432495117,rbf,0.001,balanced,False,auto
balance_1,0.45161290322580644,0.03230690956115723,rbf,0.001,,True,0.001
balance_1,0.45161290322580644,0.04016590118408203,rbf,0.001,,False,0.001
balance_1,0.08064516129032258,0.04000353813171387,rbf,0.001,balanced,True,0.001
balance_1,0.08064516129032258,0.039999961853027344,rbf,0.001,balanced,False,0.001
balance_1,0.45161290322580644,0.03200054168701172,rbf,0.001,,True,0.01
balance_1,0.45161290322580644,0.02406024932861328,rbf,0.001,,False,0.01
balance_1,0.08064516129032258,0.039999961853027344,rbf,0.001,balanced,True,0.01
balance_1,0.08064516129032258,0.03999900817871094,rbf,0.001,balanced,False,0.01
balance_1,0.45161290322580644,0.024000167846679688,rbf,0.001,,True,0.1
balance_1,0.45161290322580644,0.03235316276550293,rbf,0.001,,False,0.1
balance_1,0.08064516129032258,0.04018115997314453,rbf,0.001,balanced,True,0.1
balance_1,0.08064516129032258,0.040163278579711914,rbf,0.001,balanced,False,0.1
balance_1,0.45161290322580644,0.031999826431274414,rbf,0.001,,True,1
balance_1,0.45161290322580644,0.024000167846679688,rbf,0.001,,False,1
balance_1,0.08064516129032258,0.03999948501586914,rbf,0.001,balanced,True,1
